Test ID,Test Suite,Test Case Name,Execution Time (ms),Status
APP-0001,MobileUIAutomator,Login_ScreenRender_iteration_1,3617,PASSED
APP-0002,MobileUIAutomator,DonorList_ScrollPerformance_iteration_2,4710,PASSED
APP-0003,MobileUIAutomator,PushNotification_Receive_iteration_3,3050,PASSED
APP-0004,MobileUIAutomator,Map_LoadNearbyDonors_iteration_4,2819,PASSED
APP-0005,MobileUIAutomator,Profile_EditDetails_iteration_5,7075,PASSED
APP-0006,MobileUIAutomator,Login_ScreenRender_iteration_6,3585,PASSED
APP-0007,MobileUIAutomator,PushNotification_Receive_iteration_7,5980,PASSED
APP-0008,MobileUIAutomator,DonorList_ScrollPerformance_iteration_8,4689,PASSED
APP-0009,MobileUIAutomator,Profile_EditDetails_iteration_9,7680,PASSED
APP-0010,MobileUIAutomator,Navigation_BottomBar_iteration_10,6633,PASSED
APP-0011,MobileUIAutomator,PushNotification_Receive_iteration_11,4591,PASSED
APP-0012,MobileUIAutomator,EmergencyForm_Validation_iteration_12,3381,PASSED
APP-0013,MobileUIAutomator,AppLaunch_SplashScreen_iteration_13,4565,PASSED
APP-0014,MobileUIAutomator,Map_LoadNearbyDonors_iteration_14,3814,PASSED
APP-0015,MobileUIAutomator,EmergencyForm_Validation_iteration_15,4266,PASSED
APP-0016,MobileUIAutomator,PushNotification_Receive_iteration_16,3100,PASSED
APP-0017,MobileUIAutomator,PushNotification_Receive_iteration_17,5931,PASSED
APP-0018,MobileUIAutomator,DonorList_ScrollPerformance_iteration_18,5648,PASSED
APP-0019,MobileUIAutomator,PushNotification_Receive_iteration_19,4502,PASSED
APP-0020,MobileUIAutomator,DonorList_ScrollPerformance_iteration_20,6519,PASSED
APP-0021,MobileUIAutomator,Login_ScreenRender_iteration_21,3439,PASSED
APP-0022,MobileUIAutomator,Login_ScreenRender_iteration_22,4298,PASSED
APP-0023,MobileUIAutomator,Navigation_BottomBar_iteration_23,6412,PASSED
APP-0024,MobileUIAutomator,Map_LoadNearbyDonors_iteration_24,4156,PASSED
APP-0025,MobileUIAutomator,Login_ScreenRender_iteration_25,7959,PASSED
APP-0026,MobileUIAutomator,Login_ScreenRender_iteration_26,2152,PASSED
APP-0027,MobileUIAutomator,AppLaunch_SplashScreen_iteration_27,6766,PASSED
APP-0028,MobileUIAutomator,EmergencyForm_Validation_iteration_28,6833,PASSED
APP-0029,MobileUIAutomator,Map_LoadNearbyDonors_iteration_29,2300,PASSED
APP-0030,MobileUIAutomator,Profile_EditDetails_iteration_30,6452,PASSED
APP-0031,MobileUIAutomator,DonorList_ScrollPerformance_iteration_31,7356,PASSED
APP-0032,MobileUIAutomator,Navigation_BottomBar_iteration_32,4996,PASSED
APP-0033,MobileUIAutomator,EmergencyForm_Validation_iteration_33,3829,PASSED
APP-0034,MobileUIAutomator,Profile_EditDetails_iteration_34,3096,PASSED
APP-0035,MobileUIAutomator,DonorList_ScrollPerformance_iteration_35,6105,PASSED
APP-0036,MobileUIAutomator,Login_ScreenRender_iteration_36,5250,PASSED
APP-0037,MobileUIAutomator,PushNotification_Receive_iteration_37,6113,PASSED
APP-0038,MobileUIAutomator,AppLaunch_SplashScreen_iteration_38,7428,PASSED
APP-0039,MobileUIAutomator,Map_LoadNearbyDonors_iteration_39,7030,PASSED
APP-0040,MobileUIAutomator,Navigation_BottomBar_iteration_40,6211,PASSED
APP-0041,MobileUIAutomator,Navigation_BottomBar_iteration_41,5655,PASSED
APP-0042,MobileUIAutomator,Navigation_BottomBar_iteration_42,3467,PASSED
APP-0043,MobileUIAutomator,Navigation_BottomBar_iteration_43,7996,PASSED
APP-0044,MobileUIAutomator,DonorList_ScrollPerformance_iteration_44,4939,PASSED
APP-0045,MobileUIAutomator,AppLaunch_SplashScreen_iteration_45,3792,PASSED
APP-0046,MobileUIAutomator,DonorList_ScrollPerformance_iteration_46,3898,PASSED
APP-0047,MobileUIAutomator,Login_ScreenRender_iteration_47,4165,PASSED
APP-0048,MobileUIAutomator,PushNotification_Receive_iteration_48,3917,PASSED
APP-0049,MobileUIAutomator,AppLaunch_SplashScreen_iteration_49,7477,PASSED
APP-0050,MobileUIAutomator,Map_LoadNearbyDonors_iteration_50,6242,PASSED
APP-0051,MobileUIAutomator,PushNotification_Receive_iteration_51,5179,PASSED
APP-0052,MobileUIAutomator,DonorList_ScrollPerformance_iteration_52,5724,PASSED
APP-0053,MobileUIAutomator,AppLaunch_SplashScreen_iteration_53,2326,PASSED
APP-0054,MobileUIAutomator,PushNotification_Receive_iteration_54,2845,PASSED
APP-0055,MobileUIAutomator,Profile_EditDetails_iteration_55,4157,PASSED
APP-0056,MobileUIAutomator,Navigation_BottomBar_iteration_56,5085,PASSED
APP-0057,MobileUIAutomator,EmergencyForm_Validation_iteration_57,4992,PASSED
APP-0058,MobileUIAutomator,Login_ScreenRender_iteration_58,6232,PASSED
APP-0059,MobileUIAutomator,Profile_EditDetails_iteration_59,5082,PASSED
APP-0060,MobileUIAutomator,Map_LoadNearbyDonors_iteration_60,6230,PASSED
APP-0061,MobileUIAutomator,EmergencyForm_Validation_iteration_61,4890,PASSED
APP-0062,MobileUIAutomator,PushNotification_Receive_iteration_62,5988,PASSED
APP-0063,MobileUIAutomator,DonorList_ScrollPerformance_iteration_63,6949,PASSED
APP-0064,MobileUIAutomator,AppLaunch_SplashScreen_iteration_64,6111,PASSED
APP-0065,MobileUIAutomator,Navigation_BottomBar_iteration_65,5603,PASSED
APP-0066,MobileUIAutomator,Navigation_BottomBar_iteration_66,3884,PASSED
APP-0067,MobileUIAutomator,Login_ScreenRender_iteration_67,6215,PASSED
APP-0068,MobileUIAutomator,Profile_EditDetails_iteration_68,3732,PASSED
