Test ID,Test Suite,Test Case Name,Execution Time (ms),Status
SEL-0001,WebE2ETest,Login_ValidUser_variation_1,2441,PASSED
SEL-0002,WebE2ETest,Search_DonorByBloodGroup_variation_2,4335,PASSED
SEL-0003,WebE2ETest,Notifications_ClearAll_variation_3,2610,PASSED
SEL-0004,WebE2ETest,Login_ValidUser_variation_4,1804,PASSED
SEL-0005,WebE2ETest,Request_SubmitEmergency_variation_5,3724,PASSED
SEL-0006,WebE2ETest,Login_ValidUser_variation_6,2234,PASSED
SEL-0007,WebE2ETest,Logout_Success_variation_7,1564,PASSED
SEL-0008,WebE2ETest,Search_DonorByBloodGroup_variation_8,3904,PASSED
SEL-0009,WebE2ETest,Dashboard_LoadData_variation_9,4419,PASSED
SEL-0010,WebE2ETest,Profile_UpdateAvatar_variation_10,1815,PASSED
SEL-0011,WebE2ETest,Request_SubmitEmergency_variation_11,2165,PASSED
SEL-0012,WebE2ETest,Search_DonorByBloodGroup_variation_12,3821,PASSED
SEL-0013,WebE2ETest,Profile_UpdateAvatar_variation_13,4273,PASSED
SEL-0014,WebE2ETest,Settings_ToggleDarkMode_variation_14,2858,PASSED
SEL-0015,WebE2ETest,Profile_UpdateAvatar_variation_15,2073,PASSED
SEL-0016,WebE2ETest,Login_InvalidPassword_variation_16,3551,PASSED
SEL-0017,WebE2ETest,Logout_Success_variation_17,1719,PASSED
SEL-0018,WebE2ETest,Login_InvalidPassword_variation_18,3290,PASSED
SEL-0019,WebE2ETest,Search_DonorByBloodGroup_variation_19,1811,PASSED
SEL-0020,WebE2ETest,Logout_Success_variation_20,3978,PASSED
SEL-0021,WebE2ETest,Profile_UpdateAvatar_variation_21,2836,PASSED
SEL-0022,WebE2ETest,Login_ValidUser_variation_22,4097,PASSED
SEL-0023,WebE2ETest,Request_SubmitEmergency_variation_23,3345,PASSED
SEL-0024,WebE2ETest,Notifications_ClearAll_variation_24,2434,PASSED
SEL-0025,WebE2ETest,Logout_Success_variation_25,3765,PASSED
SEL-0026,WebE2ETest,Profile_UpdateAvatar_variation_26,3268,PASSED
SEL-0027,WebE2ETest,Dashboard_LoadData_variation_27,4284,PASSED
SEL-0028,WebE2ETest,Profile_UpdateAvatar_variation_28,1851,PASSED
SEL-0029,WebE2ETest,Request_SubmitEmergency_variation_29,2509,PASSED
SEL-0030,WebE2ETest,Login_InvalidPassword_variation_30,1836,PASSED
SEL-0031,WebE2ETest,Request_SubmitEmergency_variation_31,2131,PASSED
SEL-0032,WebE2ETest,Profile_UpdateAvatar_variation_32,4415,PASSED
SEL-0033,WebE2ETest,Dashboard_LoadData_variation_33,3095,PASSED
SEL-0034,WebE2ETest,Logout_Success_variation_34,2977,PASSED
SEL-0035,WebE2ETest,Login_InvalidPassword_variation_35,1874,PASSED
SEL-0036,WebE2ETest,Login_ValidUser_variation_36,2762,PASSED
SEL-0037,WebE2ETest,Notifications_ClearAll_variation_37,2974,PASSED
SEL-0038,WebE2ETest,Request_SubmitEmergency_variation_38,1918,PASSED
SEL-0039,WebE2ETest,Dashboard_LoadData_variation_39,1857,PASSED
SEL-0040,WebE2ETest,Dashboard_LoadData_variation_40,3265,PASSED
SEL-0041,WebE2ETest,Notifications_ClearAll_variation_41,3781,PASSED
SEL-0042,WebE2ETest,Settings_ToggleDarkMode_variation_42,3598,PASSED
SEL-0043,WebE2ETest,Profile_UpdateAvatar_variation_43,1923,PASSED
SEL-0044,WebE2ETest,Login_ValidUser_variation_44,1867,PASSED
SEL-0045,WebE2ETest,Logout_Success_variation_45,3770,PASSED
SEL-0046,WebE2ETest,Login_InvalidPassword_variation_46,3945,PASSED
SEL-0047,WebE2ETest,Logout_Success_variation_47,3077,PASSED
SEL-0048,WebE2ETest,Login_ValidUser_variation_48,2695,PASSED
SEL-0049,WebE2ETest,Profile_UpdateAvatar_variation_49,3088,PASSED
SEL-0050,WebE2ETest,Login_InvalidPassword_variation_50,4468,PASSED
SEL-0051,WebE2ETest,Settings_ToggleDarkMode_variation_51,2494,PASSED
SEL-0052,WebE2ETest,Settings_ToggleDarkMode_variation_52,2194,PASSED
SEL-0053,WebE2ETest,Profile_UpdateAvatar_variation_53,2194,PASSED
SEL-0054,WebE2ETest,Dashboard_LoadData_variation_54,2601,PASSED
